screen_name,cap_en,cap_unv
Patriotmom2one,0.6159726892215056,0.611464313617347
InfogretchenMy,0.14157391067567082,0.09360841931572118
49november,0.009922300094567935,0.026940288992638697
scuethics,0.008750694009244317,0.021041094138717433
worldgoneweirde,0.09741389119048932,0.05430460982015838
ambersauer,0.0022344951904619756,0.0027296301902785666
Lili_immaculate,0.0026183131920431966,0.002571043998532308
TwainShallMeet,0.001725457650971877,0.0027296301902785666
Justmemarie2,0.007724054879521963,0.023811568542435598
bandit_money,0.0022344951904619756,0.004725361816828223
James_E_Shannon,0.021603216955146855,0.01859922727344653
DyanLondon444,0.021603216955146855,0.13065598435976788
mcc01778,0.28686866458066024,0.3254134937439308
frevolt,0.0034565375041747688,0.0017440333583248883
elgranmusica,0.04142512584947667,0.038677030425236264
explorer_spacex,0.7405226576973513,0.16230758351843008
Mick130160,0.0020801266669107617,0.007183846426565749
ElizabethCarron,0.28686866458066024,0.26968322684725654
candice_strait,0.016566752245969804,0.021041094138717433
MyCatsBidding,0.005363701003450149,0.008048111281043234
HolleSharon,0.0060434470460022415,0.014565852401308765
RitaTainola,0.0018284205282117316,0.003626193494014071
sniperkitty_009,0.009922300094567935,0.038677030425236264
HowardStark2018,0.5114515477139734,0.07519311407072778
JayLochrie,0.009922300094567935,0.009037049400998034
BodiesApp,0.04142512584947667,0.04342086940555935
jerzygirl45,0.0012183789109573519,0.0020139366550120737
slevenback,0.005363701003450149,0.004725361816828223
RobynEssex1,0.005363701003450149,0.006431292840898396
dad2summit,0.002856940094612955,0.01645230483113907
younglady037833,0.004268306222830912,0.011448498001345467
Maravilla_Sal,0.0012183789109573519,0.0017440333583248883
KatTheHammer1,0.6662767818190388,0.5319634089641295
IvaW_SE,0.0024124820419756166,0.007183846426565749
doschol,0.03657805288858329,0.011448498001345467
tiziana_cvl,0.0034565375041747688,0.005778300973814037
GroovyAsh518,0.028225552221050176,0.13065598435976788
NainaSalvatore,0.001141902134591572,0.0020139366550120737
bellanjakkie,0.0020801266669107617,0.003116817556886547
Mikestweeting,0.001725457650971877,0.003626193494014071
shalaman,0.14157391067567082,0.24446254495086733
OriginalCherFan,0.0026183131920431966,0.003940623559956331
BMClemons77,0.06706338835674493,0.021041094138717433
Phineus_Fury,0.009922300094567935,0.014565852401308765
DaceDolores,0.00682617488477388,0.005213309669283597
pamela_herd,0.002856940094612955,0.010164988287386762
kurono_alien,0.0024124820419756166,0.006431292840898396
dmcrane,0.05942480200270631,0.10460347933351005
herbstdw,0.046773782504080826,0.1998825988113924
imtan2,0.0060434470460022415,0.006431292840898396
Rayn3ll,0.002856940094612955,0.014565852401308765
janeeucraft,0.004775575529426348,0.021041094138717433
ainohuotari,0.008750694009244317,0.021041094138717433
TrekOnJAH,0.011259346570646776,0.05430460982015838
venemcdonald,0.0024124820419756166,0.021041094138717433
irmabug98,0.005363701003450149,0.009037049400998034
movement_usa,0.018904416758651326,0.011448498001345467
Timothy00003676,0.0038317559975942547,0.011448498001345467
SpaceCityDesig1,0.021603216955146855,0.04342086940555935
auntygravity,0.021603216955146855,0.021041094138717433
_JesusOnline,0.028225552221050176,0.08385114734671234
WhoAreMyHeroes,0.20316525868115767,0.07519311407072778
cshea32,0.004268306222830912,0.0043042404804791
Mary52930080,0.07583235670880943,0.023811568542435598
LiesDem,0.028225552221050176,0.04342086940555935
BernaBurny,0.0018284205282117316,0.009037049400998034
Laus_Deo4ever,0.009922300094567935,0.01859922727344653
Nvehecnycrrcom1,0.06706338835674493,0.03435849422907052
BenitaCrow1,0.08590409243653727,0.08385114734671234
mrsbshi,0.0018284205282117316,0.0033536770167744536
ColoradoGirl2A,0.5114515477139734,0.5591583735107447
icare4america16,0.02470203924309943,0.08385114734671234
mgafni,0.0018284205282117316,0.005778300973814037
sylvrfox1,0.02470203924309943,0.18030310025096605
duosayso,0.0016347149115980926,0.0027296301902785666
di_plora,0.5114515477139734,0.5591583735107447
SNeuralinks,0.012788431177246198,0.07519311407072778
simonsez9360,0.0034565375041747688,0.008048111281043234
geoffh33,0.0024124820419756166,0.005213309669283597
FGG941,0.6411460843222053,0.47530138941405353
aroumeli,0.005363701003450149,0.026940288992638697
RealMiBaWi,0.0038317559975942547,0.003626193494014071
KINGJUNAID,0.005363701003450149,0.010164988287386762
JGCarbon1,0.004268306222830912,0.07519311407072778
JadesMom3,0.008750694009244317,0.06747906081432216
GregWest_HALOJM,0.05272348371475359,0.07519311407072778
BrookeReacts,0.0022344951904619756,0.006431292840898396
ClaudiaAlvaran2,0.004775575529426348,0.005778300973814037
Kaycee_314,0.0019457839054003979,0.0029102973297387607
